brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Huyndai,Hyundai Tucson 2018,598 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 280.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Santa Fe 2019,868 triệu,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 50.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2020,395 triệu,Năm SX 2020,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 17.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2018,415 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 154.999 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Kona 2021,515 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 93.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2022,375 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 150.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2016,170 triệu,Năm SX 2016,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 60.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Grand i10 2016,280 triệu,Năm SX 2016,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 7.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2017,295 triệu,Năm SX 2017,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 38.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Accent 2020,435 triệu,Năm SX 2020,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 20.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2014,133 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 33.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Elantra 2021,566 triệu,Năm SX 2021,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 59.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
